address,name,profit
0x44bE1B5f3Bd17e84a871394499AaCD560Dd93AB5,MasterPlan 3,103
0x33B27c8Cb6fB2Cda22985adf9dCE046960ff31d1,Shibarium Pad,93
0xE5C8A913529eD50377b65E8429b2341eAA7182Fb,ChatGPT 4,92
0x4c394CF082274D493E13A3C856252439b161B98F,Ordinal Shiba,67
0x85A6467A702b84D542f5bDc4042729128F631b40,Intellifyx,40
0x65D13822Ddca875480f4475a652dB91F5A260320,POWPOW,33
0xff698B47e5D382C3eED79F46D4078cA7496137e5,ShIsune Inu,30
0x3B3B12026b0CCb059ca0bF5C08521Bf0F2CFa40e,vault of satoshi,23
0xFA8798831E1Ba4D9870C2AA1f7915fADC455A830,CC Whales,162
0xdaB767AFf40aB368615E742493956bA5aAFc1908,Shib Dragon,149
0x45289007706E7Ee7B42b1fA506661d97740Edfb4,FLOKI CEO,121
0x18cA51a22BB43575e42AD2f97c8F1Aa1cA251Ef9,WalletAI,52
0x50C2CaEEe622Afa38D773d1aF0149C6e7f569F52,Dogo Dragon ,34
0xBb199E151e0aCc346EadD484bac6675fa4f93eD3,Titanic 2,31
0xa447ca5a88836da793befedadaa9ceb73caf8798,Shinko,41
0x6E65674888ff940Ac714F68b1e0C4eAFb2CA1d5D,Enspec,31
0x416162B73CF0168a01C525cd3040d05f25ecF5a2,Renmine,2553
0x96b44991175e6949e0d3d4eA27Bef517c6E603D7,Pigi Inu,55
0xBC0EC5E42e5BfF2A1ac8EB8f3da2e54161410AbF,Safelon,50
0x3f37fabb651215b78d351d72e718c7fe7e411d2f,Whale Protocol,12
0x8910f21aeAFa7a72ffE087A3Aaf0F4621384A1e1,Rabbit King,23
0x1Fa478D4F0cdf05AC36289EABBB34155a73c0129,Arabbit,13
0xCD14250C3685b39F3691226573f10deb0B952731,Dogoeboy,11
0xBa14E57B89A8d9023ED8E549d5Fda7b488f56D25,Mildchain Network,160
0x34D6C1Fc16061c6E81a5a8e4eC748fF46aE50d1e,Denmark,14
0x8971a6fbBB78baC0b2f14Fd2e4288182BF0a672F,Blue Doge,10
0x7791d80425Cb542937FA499AfE835d26eE7284Fb,Rabbit2023,777
0x602dbddB879f4978CAFE764A4bDd964a845E9A52,TwitterDoge,220
0x1D158a185767E1947B6Ff1d2010A35eDf4c3B8d8,TwitterBurn,48
0xdEA7295bB62036eba0de54200f8B700de171651d,Santa Clown,26
